CustomerID,Recommendations
C0001,"[('C0097', 0.5477), ('C0194', 0.4697), ('C0199', 0.4382)]"
C0002,"[('C0030', 0.3728), ('C0091', 0.3339), ('C0071', 0.3299)]"
C0003,"[('C0134', 0.5199), ('C0181', 0.5176), ('C0144', 0.4)]"
C0004,"[('C0070', 0.4989), ('C0132', 0.4382), ('C0063', 0.3361)]"
C0005,"[('C0096', 0.6482), ('C0055', 0.5145), ('C0064', 0.3329)]"
C0006,"[('C0058', 0.6489), ('C0040', 0.6295), ('C0178', 0.3746)]"
C0007,"[('C0020', 0.5883), ('C0079', 0.4961), ('C0026', 0.3631)]"
C0008,"[('C0144', 0.3922), ('C0088', 0.3397), ('C0003', 0.3138)]"
C0009,"[('C0140', 0.5601), ('C0162', 0.5133), ('C0062', 0.4951)]"
C0010,"[('C0033', 0.4867), ('C0077', 0.4248), ('C0094', 0.4059)]"
C0011,"[('C0135', 0.4842), ('C0120', 0.3568), ('C0173', 0.3308)]"
C0012,"[('C0164', 0.4529), ('C0052', 0.4086), ('C0173', 0.3578)]"
C0013,"[('C0058', 0.5345), ('C0040', 0.5186), ('C0169', 0.441)]"
C0014,"[('C0128', 0.8944), ('C0159', 0.7845), ('C0136', 0.4619)]"
C0015,"[('C0073', 0.6325), ('C0036', 0.6068), ('C0059', 0.4568)]"
C0016,"[('C0187', 0.6449), ('C0064', 0.4611), ('C0145', 0.3954)]"
C0017,"[('C0037', 0.3989), ('C0071', 0.3849), ('C0183', 0.3457)]"
C0018,"[('C0177', 0.3939), ('C0064', 0.3567), ('C0081', 0.3503)]"
C0019,"[('C0083', 0.4899), ('C0064', 0.488), ('C0039', 0.4648)]"
C0020,"[('C0026', 0.6172), ('C0007', 0.5883), ('C0104', 0.4887)]"
